Evolución Nº de ingresos nuevos en planta;;;;;;;;;;;;;;;;;;;;;
Se incluye todos los pacientes que a fecha de hoy han sido o son positivos.;;;;;;;;;;;;;;;;;;;;;
;Nuevos Ingresos Hospitalarios;01 Araba;02 Cruces;03 Donosti;04 Basurto;05 Galdakao;06 Zumarraga;07 Bidasoa;08 Mendaro;09 Alto Deba;10 San Eloy;11 Urduliz;12 Eibar;13 Leza;14 Sta Marina;15 Gorliz;BERMEO H.;ZALDIBAR H.;ZAMUDIO H.;ÁLAVA PSIQUIÁTRICO H.;
2020/09/09;98;17;26;14;13;2;4;2;3;3;2;0;0;0;11;1;0;0;0;0;
2020/09/10;80;11;14;17;13;5;2;3;2;3;1;0;1;0;7;0;0;;1;0;
2020/09/11;85;11;17;23;11;7;0;0;1;5;1;0;1;0;8;0;0;;0;0;
2020/09/12;68;12;14;12;12;7;1;0;1;3;0;1;0;0;5;0;0;;0;0;
2020/09/13;48;7;6;8;4;6;1;0;1;2;5;1;0;0;6;1;0;;0;0;
2020/09/14;83;8;18;19;11;3;3;1;4;1;3;1;0;1;10;0;0;;0;0;
2020/09/15;84;9;16;20;14;9;2;3;1;0;1;4;0;0;4;1;0;;0;0;
2020/09/16;91;9;16;26;9;5;2;2;2;4;2;2;1;0;11;0;0;;0;0;
2020/09/17;66;8;14;10;8;6;2;2;3;1;0;0;0;0;10;1;0;;1;0;
2020/09/18;88;13;12;18;8;10;3;4;1;3;2;2;1;0;11;0;0;;0;0;
2020/09/19;40;8;8;7;3;4;0;0;2;0;0;3;0;0;3;1;0;;1;0;
2020/09/20;39;7;7;7;4;6;1;3;1;2;1;0;0;0;0;0;0;;0;0;
2020/09/21;75;10;14;12;13;5;2;1;4;2;1;3;0;0;7;0;0;;1;0;
2020/09/22;65;9;13;9;11;1;6;3;0;2;2;1;0;0;4;2;0;1;1;0;
2020/09/23;73;13;15;9;7;3;4;4;3;3;4;1;0;0;4;2;0;0;1;0;
